attribute_key,label,label_zh,theme,attribute_group,definition,source_type,mention_count,salience_column,quality_column,example_review_id,example_quote,theory_families,theory_subtheories,applicable_products
power_source_type,Power Source Type,電源類型,Power Source,attribute_function,Whether the product uses disposable batteries (AA/AAA) vs USB rechargeable power. High=rechargeable; Low=disposable battery only.,both,38,power_source_type_salience,power_source_type_quality,B0BVVKKXFZ,"the only MB line trimmer from urbaner that is rechargeable, the rest of the MB line uses AA batteries","product_positioning,purchase_motivation","attributes,functional,security","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
rechargeable_design,Rechargeable Design,充電式設計,Power Source,attribute_function,Whether the product supports USB or dock recharging without replacing batteries. High=USB rechargeable; Low=battery only.,both,35,rechargeable_design_salience,rechargeable_design_quality,B0BVVKKXFZ,"Great and USB C – Before I talk about the actual device, I want to mention that this charges with a USB C cable, which is the current standard.","product_positioning,maslow,purchase_motivation","attributes,physiological,functional","B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B09138YH5R"
usb_c_charging,USB-C Charging,USB-C充電,Power Source,attribute_function,Whether the product charges via USB-C (modern universal standard). High=USB-C supported; Low=proprietary or older port.,both,12,usb_c_charging_salience,usb_c_charging_quality,B0BVVKKXFZ,"I have another grooming kit that charges with micro USB, but this one charges with USB C","product_positioning,purchase_motivation","attributes,functional","B0BVVKKXFZ,B0GL2DKVQH"
charging_dock_base,Charging Dock / Base,充電底座,Power Source,attribute_function,Whether a standalone charging dock or base is included. High=dedicated charging base included; Low=no base.,both,10,charging_dock_base_salience,charging_dock_base_quality,B0BVVKKXFZ,"I do wish the charger plugged right into the clipper, rather than having a charging base","product_positioning,purchase_motivation","attributes,functional","B0BVVKKXFZ,B0D5B8ZT1K"
battery_type_aa,AA Battery Power,AA電池驅動,Power Source,attribute_function,Whether the product uses AA batteries (larger capacity vs AAA). High=AA powered; relevant for products not rechargeable.,both,28,battery_type_aa_salience,battery_type_aa_quality,B0823PD6XD,I'm not sure I like the idea of a battery because I'd rather have a USB rechargeable,"product_positioning,purchase_motivation","attributes,functional","B06Y65N73X,B0823PD6XD,B0842PLHY1,B0BRVTRPXM,B0GL2GP74J"
battery_type_aaa,AAA Battery Power,AAA電池驅動,Power Source,attribute_function,"Whether the product uses AAA batteries (compact, lighter). Relevant for pen-type devices.",both,6,battery_type_aaa_salience,battery_type_aaa_quality,B091C37P34,Requires 1 AAA battery (included) – pen-type eyebrow trimmer,product_positioning,attributes,"B091C37P34,B083NFMGZH"
battery_included,Battery Included in Package,隨附電池,Power Source,benefit_use,Whether the package includes batteries so the device is ready to use out of box. High=batteries included; Low=batteries not included.,both,22,battery_included_salience,battery_included_quality,B0GL2GP74J,The Battery IS Included!!! Classy elegant gift for the man who is always fully groomed!!! Comes beautifully boxed and actually includes a very good quality name brand AA battery,"product_positioning,purchase_motivation","benefits,functional,relational","B06Y65N73X,B0823PD6XD,B0842PLHY1,B0GL2GP74J,B091C37P34"
battery_life_duration,Battery / Charge Life Duration,電池續航時間,Power Source,attribute_function,How long the device operates on a single charge or battery set. High=long runtime (90min+); Low=short runtime.,both,14,battery_life_duration_salience,battery_life_duration_quality,B0BVVKKXFZ,Holds a charge for quite a while and cuts well!,"product_positioning,purchase_motivation","functions,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
wall_plug_included,Wall Plug / Adapter Included,隨附充電頭,Power Source,attribute_function,"Whether a wall plug/power adapter is included with the USB charging cable. High=included; Low=cable only, no plug.",review,7,wall_plug_included_salience,wall_plug_included_quality,B0BVVKKXFZ,the shaver comes with a charging base and USB cable to allow it to be connected – wall plug not included,"product_positioning,purchase_motivation","attributes,functional","B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH"
motor_origin,Japanese Motor,日本馬達,Motor & Blade,attribute_function,"Whether the motor is sourced from Japan (typically higher torque, quieter). High=genuine Japanese motor; Low=generic.",both,18,motor_origin_salience,motor_origin_quality,B0BVVKKXFZ,"Japanese Motor, USB Charger, IPX8 Waterproof – top-listed feature on product page","product_positioning,maslow,purchase_motivation","attributes,esteem,security","B091C37P34,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
